Day fraction since midnight on 	200 kPa (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.640727112	18323.70117	0.513658404	31863.64063	9490.296606
0.64073868	18351.49219	0.647059977	31863.64063	9467.376328
0.640750271	18513.43359	0.783593953	31863.64063	9537.843043
0.640761842	18526.24219	0.925299227	31863.64063	9548.53254
0.6407734	18510.16992	1.117805719	31872.78711	9538.186393
0.640784984	18496.8418	1.319074154	31872.78711	9548.315548
0.640796561	18428.88086	1.492205262	31872.78711	9504.922725
0.640808145	18530.23438	1.714781165	31872.78711	9535.652257
0.640819729	18478.91016	1.897974849	31872.78711	9516.598149
0.640831277	18448.50586	2.051543474	31823.74219	9488.602531
0.640842877	18493.87695	2.217121124	31823.74219	9517.747505
0.640854432	18404.93945	2.398835897	31823.74219	9543.219228
0.640866013	18409.63281	2.600772381	31823.74219	9515.715791
0.64087759	18383.94922	2.780997515	31823.74219	9503.384297
0.64088915	18289.50195	2.913050652	31680.14844	9514.902367
0.640900737	18295.92578	3.120589018	31680.14844	9546.828001
0.640912292	18307.83984	3.286370277	31680.14844	9528.6489
0.64092388	18345.95313	3.43719244	31680.14844	9514.490163
0.640935462	18282.51172	3.602216244	31680.14844	9517.767768
0.640947021	18283.08789	3.792546034	31538.25977	9564.94206
0.640958603	18317.63672	3.955720902	31538.25977	9557.849353
0.640970176	18306.81641	4.092607498	31538.25977	9609.278885
0.640981749	18269.94727	4.23542738	31538.25977	9551.489256
0.640993339	18217.76563	4.416612625	31538.25977	9564.715059
0.641004903	18193.32227	4.544827938	31415.62695	9588.13063
0.641016477	18215.36328	4.689293861	31415.62695	9614.667062
0.641028036	18214.69336	4.790703297	31415.62695	9582.111082
0.641039608	18168.39063	4.906833649	31415.62695	9569.908731
0.641051198	18161.24805	5.032846451	31415.62695	9546.449578
0.641062766	18097.15234	5.177135944	31318.96289	9612.362739
0.641074342	18151.53711	5.300285816	31318.96289	9622.044858
0.641085934	18026.47266	5.425951958	31318.96289	9571.351751
0.641097499	18119.47266	5.47763443	31318.96289	9583.010926
0.641109069	18070.33594	5.61764431	31318.96289	9612.800218
0.641120633	18075.76367	5.750169277	31149.03516	9667.817139
0.641132223	18030.85742	5.827859402	31149.03516	9609.03214
0.641143808	17891.94531	5.930444241	31149.03516	9608.995785
0.641155366	18027.73438	6.005328655	31149.03516	9673.833474
0.641166933	18058.51758	6.098864555	31149.03516	9646.759644
