Day fraction since midnight on 	200 kPa (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.635784902	15440.19824	8.791718483	25970.625	4689.467592
0.635796479	15410.60449	8.82548523	25972.32031	4679.080507
0.635808032	15408.13086	8.81045723	25972.32031	4681.693372
0.635819631	15457.08887	8.790723801	25972.32031	4684.339375
0.635831203	15431.55566	8.816723824	25972.32031	4679.801519
0.635842776	15412.15527	8.814833641	25972.32031	4672.60132
0.635854348	15412.49219	8.825737953	25976.62695	4680.578782
0.635865912	15412.32031	8.82167244	25976.62695	4672.511826
0.635877502	15414.45703	8.826300621	25976.62695	4674.317765
0.635889074	15414.28516	8.82060051	25976.62695	4672.511619
0.635900637	15419.08105	8.831301689	25976.62695	4671.641429
0.63591221	15440.00488	8.834271431	26103.29297	4654.141288
0.635923803	15403.69727	8.846346855	26103.29297	4654.426143
0.635935361	15406.07324	8.83348465	26103.29297	4643.341274
0.635946942	15446.50488	8.82836628	26103.29297	4654.303793
0.635958519	15479.00977	8.85406971	26103.29297	4657.620033
0.635970103	15410.35352	8.855414391	26304.79492	4601.171229
0.635981675	15444.27637	8.84738636	26304.79492	4611.709408
0.635993236	15433.78125	8.838845253	26304.79492	4604.620193
0.636004814	15395.45703	8.853193283	26304.79492	4596.871807
0.636016398	15397.51953	8.849637985	26304.79492	4596.071117
0.636027957	15410.26855	8.880134583	26466.0625	4570.246896
0.636039535	15382.54883	8.877902031	26466.0625	4566.806049
0.636051104	15397.2832	8.852911949	26466.0625	4556.745049
0.636062706	15395.15039	8.850532532	26466.0625	4558.390988
0.636074258	15412.66309	8.839881897	26466.0625	4571.12854
0.63608583	15403.61133	8.830962181	26582.89844	4544.266014
0.636097409	15393.23926	8.82134819	26582.89844	4534.404417
0.636108972	15420.86523	8.805287361	26582.89844	4542.642127
0.636120578	15384.4707	8.791901588	26582.89844	4543.504757
0.636132126	15424.96387	8.778190613	26582.89844	4541.748767
0.636143718	15384.46777	8.762476921	26679.63867	4520.597709
0.636155273	15406.07324	8.754271507	26679.63867	4520.597709
0.636166855	15442.42285	8.747414589	26679.63867	4517.246143
0.636178427	15380.12793	8.741999626	26679.63867	4516.488732
0.636189996	15380.18945	8.739501	26679.63867	4509.178681
0.636201578	15440.28711	8.737658501	26742.4707	4512.344182
0.63621315	15418.55371	8.736343384	26742.4707	4503.401132
0.636224724	15393.0166	8.735357285	26742.4707	4499.443953
0.636236297	15420.69434	8.731746674	26742.4707	4509.808363
0.636247876	15391.18164	8.721800804	26742.4707	4505.824628
0.636259442	15397.28516	8.712365151	26908.94531	4470.843966
0.636271024	15442.52539	8.707141876	26908.94531	4481.123326
0.636282608	15414.62891	8.685897827	26908.94531	4473.15716
0.636294173	15388.81934	8.643364906	26908.94531	4470.843966
0.636305755	15373.99902	8.603806496	26908.94531	4469.209652
0.636317318	15352.55273	8.586476326	26990.19922	4449.87795
0.636328889	15388.8877	8.584685326	26990.19922	4452.123824
0.636340459	15410.10156	8.577058792	26990.19922	4462.118875
0.636352046	15384.61719	8.567980766	26990.19922	4455.950762
0.636363607	15376.06641	8.555081368	26990.19922	4446.596336
0.636375206	15348.5166	8.537443161	27138.2207	4415.733137
0.63638677	15375.92871	8.514951706	27138.2207	4430.871788
0.636398362	15410.0957	8.486920357	27138.2207	4420.353218
0.636409912	15367.38574	8.458227158	27138.2207	4428.727641
0.636421486	15395.07129	8.435118675	27138.2207	4428.080605
0.636433079	15384.68945	8.421657562	27213.7207	4411.549293
0.636444639	15395.14746	8.412231445	27213.7207	4403.275266
0.636456234	15408.21387	8.407557488	27213.7207	4409.329187
0.636467787	15393.32227	8.402557373	27213.7207	4407.787754
0.636479364	15378.26855	8.392367363	27213.7207	4407.130141
0.636490934	15423.2666	8.373486519	27335.98633	4387.800167
0.636502527	15384.46582	8.351342201	27335.98633	4380.401908
0.636514084	15361.1709	8.323600769	27335.98633	4383.354727
0.636525662	15356.95313	8.28692627	27335.98633	4382.657649
0.636537222	15401.96387	8.272003174	27335.98633	4392.348206
0.636548816	15388.74316	8.247515678	27463.20117	4366.467339
0.636560395	15393.24902	8.231332779	27463.20117	4362.70851
0.636571966	15354.68945	8.209218979	27463.20117	4352.542248
0.636583531	15391.10254	8.179172516	27463.20117	4363.496529
0.636595113	15401.95996	8.152220726	27463.20117	4359.12062
0.636606691	15335.44922	8.122312546	27516.62109	4341.771868
0.636618257	15359.0293	8.099802971	27516.62109	4345.434142
0.636629842	15388.8916	8.089982033	27516.62109	4354.879959
0.636641407	15388.89453	8.083065033	27516.62109	4350.452676
0.636652984	15391.17871	8.079642296	27516.62109	4355.610869
0.63666455	15371.86328	8.078191757	27588.05273	4337.095565
0.63667614	15427.2793	8.077008247	27588.05273	4346.47062
0.636687705	15386.75488	8.071811676	27588.05273	4334.146943
0.63669928	15393.39746	8.065682411	27588.05273	4336.37478
0.636710853	15343.94922	8.04322052	27588.05273	4329.941609
0.636722437	15371.9248	8.028366089	27671.93359	4315.893628
0.636734002	15369.58496	7.997786999	27671.93359	4320.079294
0.636745566	15365.31348	7.990817547	27671.93359	4320.863372
0.636757165	15367.6543	7.952094078	27671.93359	4318.745133
0.636768723	15354.81543	7.969813824	27671.93359	4316.585212
0.636780291	15380.34082	7.930420399	27711.62109	4309.987039
0.636791873	15393.16602	7.907794476	27711.62109	4312.822507
0.636803445	15356.70215	7.749521256	27711.62109	4307.902905
0.636815037	15395.22266	7.441771984	27711.62109	4314.978149
0.636826601	15386.75781	7.03703928	27711.62109	4321.425495
0.636838158	15346.14063	6.539809704	27904.00195	4273.77668
0.636849743	15389.03906	6.001909256	27904.00195	4278.598538
0.63686131	15348.16113	5.49218607	27904.00195	4279.268081
0.636872891	15374.06543	4.956688881	27904.00195	4277.860501
0.636884459	15386.6084	4.490864277	27904.00195	4282.68249
0.636896038	15393.32422	4.004929066	28024.07617	4263.980697
0.636907602	15341.91992	3.577851057	28024.07617	4251.782608
0.636919174	15350.11816	3.216839552	28024.07617	4253.066764
0.63693077	15416.59668	2.872499228	28024.07617	4262.611489
0.636942336	15329.03809	2.584047079	28024.07617	4249.029718
0.636953897	15361.23145	2.282194614	28166.02734	4229.555272
0.636965475	15365.24414	2.054951668	28166.02734	4233.640788
0.636977064	15358.96484	1.861443162	28166.02734	4230.202719
0.636988636	15369.65234	1.64601326	28166.02734	4236.925348
0.637000199	15363.0459	1.468155265	28166.02734	4228.867643
0.637011772	15365.31152	1.329732776	28302.81055	4204.003051
0.637023375	15380.05469	1.201323628	28302.81055	4209.262232
0.637034927	15350.59766	1.057199717	28302.81055	4207.371824
0.637046495	15344.05664	0.95508945	28302.81055	4198.77942
0.637058086	15335.45508	0.846374929	28302.81055	4202.103626
0.637069656	15350.17676	0.793223441	28442.56836	4175.825937
0.637081213	15324.81055	0.697920263	28442.56836	4175.2522
0.637092797	15314.11719	0.657247722	28442.56836	4173.292156
0.637104365	15328.83203	0.587460101	28442.56836	4176.513992
0.637115958	15352.49121	0.52364856	28442.56836	4180.264867
0.637127523	15288.45801	0.499841631	28595.55664	4146.002686
0.637139085	15305.52441	0.468661726	28595.55664	4147.845879
0.637150678	15307.57715	0.407560647	28595.55664	4147.905846
0.637162245	15328.98828	0.36175704	28595.55664	4148.487067
0.637173818	15335.34668	0.333291054	28595.55664	4152.934754
0.637185397	15329.14063	0.297534674	28737.85352	4127.798038
0.637196965	15337.42188	0.260957092	28737.85352	4126.607699
0.63720854	15316.35156	0.219339147	28737.85352	4124.595419
0.637220109	15337.48242	0.198871836	28737.85352	4134.602487
0.637231698	15316.21191	0.184943736	28737.85352	4125.273672
0.637243261	15316.16797	0.178889126	28905.78711	4099.036434
0.637254835	15328.88477	0.176783681	28905.78711	4102.023197
0.637266416	15316.25781	0.175864384	28905.78711	4100.164869
0.637277999	15318.44336	0.173823714	28905.78711	4100.788048
0.637289571	15322.53027	0.17257753	28905.78711	4105.02822
0.637301127	15316.25977	0.168625727	29043.53516	4074.219107
0.637312719	15354.62793	0.162648067	29043.53516	4080.796606
0.63732429	15314.0293	0.156994388	29043.53516	4080.88902
0.63733587	15314.07617	0.135678932	29043.53516	4081.981745
0.637347428	15301.29004	0.135594651	29043.53516	4077.273764
0.637359011	15346.13867	0.124166414	29191.41016	4061.847059
0.637370577	15318.30176	0.114062242	29191.41016	4053.099027
0.637382163	15288.45801	0.104406193	29191.41016	4053.042406
0.637393735	15307.87695	0.096516617	29191.41016	4053.019947
0.6374053	15303.30176	0.083660521	29191.41016	4050.690266
0.637416883	15322.67676	0.080391377	29343.85352	4032.727041
0.637428459	15309.88965	0.076799199	29343.85352	4029.147914
0.637440017	15311.97949	0.070982739	29343.85352	4029.190457
