Day fraction since midnight on 	200 kPa (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.645298933	18081.03516	8.937375069	32287.72266	48822.5572
0.645310504	18136.37109	8.95606041	32287.72266	48839.08899
0.645322086	18192.39063	8.976408005	32287.72266	49148.24503
0.645333663	18214.03516	8.961175919	32287.72266	49101.85551
0.645345239	18176.45117	8.979198456	32242.52539	49051.42072
0.645356795	18144.37891	8.989857674	32242.52539	49185.40172
0.645368384	18240.34766	8.9323349	32242.52539	49226.97616
0.645379964	18004.20703	8.765763283	32242.52539	48779.76723
0.645391534	18153.66406	8.442797661	32242.52539	49070.89296
0.645403092	18088.5918	7.975502491	32183.55273	49166.46021
0.645414681	18263.85938	7.424429417	32183.55273	49340.93449
0.645426248	18181.68555	6.864101887	32183.55273	49285.75253
0.645437815	18253.49023	6.274355412	32183.55273	49410.7182
0.645449387	18201.60938	5.710127831	32183.55273	49186.0996
0.645460974	18158.16602	5.156451225	32118.98633	49287.84351
0.645472556	18179.55859	4.638174534	32118.98633	49399.60397
0.645484127	18149.40625	4.131552696	32118.98633	49373.70479
0.645495704	18135.81641	3.670676231	32118.98633	49328.24045
0.645507258	18079.0293	3.278369665	32118.98633	48890.17538
0.645518845	18047.97656	2.899866104	32032.23047	49290.99869
0.645530418	18024.3418	2.57634306	32032.23047	49094.33583
0.645542003	18019.17383	2.239360094	32032.23047	49044.85435
0.645553567	18030.88867	2.00053668	32032.23047	49370.51915
0.645565133	18118.51367	1.778546453	32032.23047	49269.72596
0.645576721	18068.51367	1.540754437	32125.5	48999.57472
0.645588284	18056.23633	1.365517259	32125.5	48972.21073
0.645599862	18007.47461	1.221430063	32125.5	48971.68744
0.645611448	18011.64063	1.054301381	32125.5	49031.54306
0.64562302	18098.12109	0.924221695	32125.5	49169.73509
0.64563459	18143.9375	0.830195546	32221.32813	49020.20193
0.64564617	17876.97852	0.730124176	32221.32813	48649.99866
0.645657738	17876.97461	0.665278673	32221.32813	48615.84704
0.645669309	17774.38086	0.583974302	32221.32813	48411.82528
0.645680889	17795.76563	0.513065636	32221.32813	48568.17867
0.645692458	17709.25977	0.488732368	32302.55664	48292.83079
0.64570404	17775.40234	0.424356967	32302.55664	48310.27671
0.645715604	17852.40625	0.361231089	32302.55664	48353.36668
0.645727171	17813.94922	0.321321994	32302.55664	48312.04414
0.645738748	17702.70508	0.278402001	32302.55664	48110.33842
0.645750318	17723.18945	0.225628167	32274.95313	48119.29416
0.645761912	17738.06055	0.197838292	32274.95313	48537.17487
0.645773483	17768.22461	0.182361022	32274.95313	48284.22011
0.645785046	17692.16016	0.17678465	32274.95313	48256.18207
0.645796614	17724.0918	0.174482346	32274.95313	48294.84007
0.645808187	17772.5	0.172582045	32253.22266	48467.47069
0.645819773	17723.08203	0.167378783	32253.22266	48393.66593
0.64583135	17630.98828	0.161514103	32253.22266	48366.51211
0.645842924	17732.42188	0.151413426	32253.22266	48358.40906
0.645854499	17686.74414	0.138899207	32253.22266	48197.35044
0.645866062	17585.34766	0.123529509	32183.73828	48349.24776
0.645877636	17759.51563	0.108632445	32183.73828	48519.69742
0.645889212	17662.08203	0.092694961	32183.73828	48462.38475
0.645900803	17649.41992	0.078231864	32183.73828	48323.81594
0.645912356	17620.2832	0.069756195	32183.73828	48291.01671
0.645923943	17718.81836	0.058659948	32169.66992	48460.32434
0.645935511	17601.4707	0.051655833	32169.66992	48231.97498
0.645947079	17650.58594	0.04620225	32169.66992	48477.39644
0.645958667	17600.05078	0.039072558	32169.66992	48198.75229
0.645970235	17587.24609	0.034006178	32169.66992	48291.27763
0.645981832	17717.90234	0.02733478	32165.07031	48346.26833
0.645993395	17717.80859	0.027216489	32165.07031	48617.87122
0.646004963	17604.7793	0.023065006	32165.07031	48345.02557
0.646016538	17670.4707	0.020262878	32165.07031	48413.56638
0.646028118	17666.35742	0.018478829	32165.07031	48522.89715
0.64603968	17720.95117	0.018212572	32087.00195	48604.20115
0.646051256	17567.75391	0.015126666	32087.00195	48441.20819
0.646062821	17618.13867	0.015914366	32087.00195	48485.36994
0.646074404	17686.74805	0.014068794	32087.00195	48674.95986
0.646085976	17690.16211	0.012948075	32087.00195	48508.72154
0.646097543	17628.06445	0.011766556	32058.65625	48621.32219
0.646109124	17607.45508	0.013215779	32058.65625	48541.86553
0.646120723	17603.82617	0.010517854	32058.65625	48450.15882
0.646132297	17509.63867	0.01058317	32058.65625	48362.67221
0.64614386	17637.58984	0.011109186	32058.65625	48510.37112
0.646155435	17609.58984	0.009924356	31989.58594	48603.75262
0.646167008	17575.8457	0.008545444	31989.58594	48581.06188
0.646178565	17476.95703	0.007686048	31989.58594	48324.87363
0.64619014	17542.33984	0.006963302	31989.58594	48574.27659
0.646201716	17647.91797	0.007024224	31989.58594	48708.8463
0.646213298	17588.42773	0.006372934	31898.54688	48739.51527
0.646224871	17616.20703	0.005320179	31898.54688	48784.55257
0.646236456	17604.55664	0.004993722	31898.54688	48729.60228
0.646248011	17628.83984	0.00347214	31898.54688	48760.12068
0.646259597	17828.87109	0.00393579	31898.54688	49143.21695
0.646271184	17755.14648	0.003873063	31817.51172	49158.49488
0.646282744	17778.58789	0.012228159	31817.51172	49278.58721
0.646294309	17742.53906	0.054187726	31817.51172	49172.28767
0.646305905	17707.99805	0.135647804	31817.51172	49165.22213
0.646317465	17631.36914	0.168043137	31817.51172	48979.99123
0.646329053	17626.89063	0.170536265	31494.32227	49564.54885
0.646340633	17518.80469	0.172047794	31494.32227	49350.20868
0.646352179	17390.9082	0.173694104	31494.32227	49180.36459
0.646363771	17411.01172	0.175929874	31494.32227	49271.00863
0.646375352	17297.72656	0.181324408	31494.32227	49073.75765
0.646386929	17285.73828	0.204558089	31128.86914	49752.73741
0.646398483	17297.26758	0.276332796	31128.86914	49571.63275
0.646410071	17354.1543	0.332032085	31128.86914	49678.80403
0.646421639	17170.27148	0.368289292	31128.86914	49471.13723
0.646433215	17169.69727	0.412306547	31128.86914	49443.19451
0.646444803	17094.65625	0.463070691	30804.75	49881.27262
0.646456352	17099.55859	0.499256074	30804.75	49981.07747
0.64646794	17106.88086	0.578118622	30804.75	49886.07416
0.646479521	17148.88477	0.738456607	30804.75	50203.18756
0.646491095	17108.25391	0.941793263	30804.75	49964.68086
0.646502653	17173.76172	1.190726757	30549.6582	50747.08263
0.646514236	17033.40039	1.335725308	30549.6582	50253.01111
0.646525814	17087.61719	1.437965632	30549.6582	50285.51724
0.646537364	17009.16797	1.49358213	30549.6582	50423.43211
0.646548949	17034.08008	1.538823724	30549.6582	50313.01819
0.646560518	16893.75	1.629702687	30251.33398	50757.08016
0.646572099	16961.42969	1.723932147	30251.33398	50647.53615
0.646583673	16898.69727	1.810376048	30251.33398	50639.37338
0.646595254	16800.96484	1.883586526	30251.33398	50585.88786
0.646606814	16824.66992	1.983818889	30251.33398	50560.72275
0.646618384	16833.23047	2.075479507	29988.1543	50945.11546
0.646629968	16761.21484	2.173280001	29988.1543	50910.7275
0.646641548	16766.74805	2.305642366	29988.1543	51022.0782
0.646653107	16681.54688	2.445627928	29988.1543	50939.57791
0.646664683	16620.70313	2.612837076	29988.1543	50664.29178
0.646676274	16696.49414	2.759411812	29732.47852	51320.9405
0.646687833	16684.26367	2.852454662	29732.47852	51408.52364
0.646699423	16665.02539	3.056624651	29732.47852	51277.60473
0.646710985	16579.52539	3.204001427	29732.47852	51164.72593
0.646722571	16615.85742	3.339398623	29732.47852	51151.20698
0.646734133	16508.98242	3.491389275	29500.20508	51416.03329
0.646745725	16504.18164	3.650871992	29500.20508	51445.57836
0.646757279	16556.54688	3.828877211	29500.20508	51578.00032
0.64676885	16444.35742	3.967698813	29500.20508	51180.71401
0.646780442	16406.37891	4.103263855	29500.20508	51312.9202
0.646791997	16442.22852	4.231984615	29239.98633	51992.20467
0.64680358	16342.71289	4.410010815	29239.98633	51724.17234
0.64681515	16393.07422	4.529006004	29239.98633	51695.10791
0.646826731	16258.88281	4.669444561	29239.98633	51401.50687
0.64683831	16296.54785	4.783595085	29239.98633	51735.71237
0.64684988	16274.27148	4.883591652	29026.1875	52059.05334
0.646861463	16229.37891	5.008928776	29026.1875	51896.44044
0.646873032	16248.20117	5.152215958	29026.1875	51896.44044
0.64688459	16159.79199	5.280164242	29026.1875	51862.94829
0.646896165	16251.1875	5.400374413	29026.1875	52151.74326
0.646907743	16073.26758	5.453969002	28804.89453	52213.83207
0.646919331	16051.5459	5.567588329	28804.89453	52106.08658
0.646930906	16050.76465	5.702337742	28804.89453	52030.67911
0.646942481	16082.18262	5.783786774	28804.89453	52211.05174
0.646954035	16101.07324	5.888836861	28804.89453	52269.26812
0.646965619	16055.81738	5.952020168	28624.07813	52626.98863
0.646977195	16050.42871	6.059527874	28624.07813	52526.39384
