Day fraction since midnight on 	200 kPa (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.651525863	16141.70117	8.916279793	28715.60156	284500.7341
0.651537445	16109.99121	8.914116859	28760.35156	282939.3244
0.651549017	16038.05273	8.909436226	28760.35156	281834.5132
0.651560583	16061.89063	8.906085968	28760.35156	281845.4561
0.651572183	16098.2168	8.901944161	28760.35156	282000.1653
0.651583744	16081.82227	8.903706551	28760.35156	282283.9415
0.651595307	16088.24707	8.904575348	28803.83008	281935.2369
0.651606891	16080.77246	8.905293465	28803.83008	283124.3337
0.651618449	16034.77344	8.902925491	28803.83008	281450.6711
0.651630041	16122.08984	8.902335167	28803.83008	283240.5956
0.651641607	16118.85254	8.898195267	28803.83008	283306.4173
0.65165319	16060.43262	8.828381538	28856.12109	280499.9611
0.651664765	16069.68066	8.695588112	28856.12109	280928.8978
0.651676332	15995.65332	8.487999916	28856.12109	280871.0015
0.651687915	15973.07715	8.089756012	28856.12109	280847.1426
0.651699495	16010.94043	7.660876751	28856.12109	280266.8976
0.651711052	16079.34277	7.211882591	28888.08398	281769.0499
0.651722634	16069.34277	6.701893807	28888.08398	280524.124
0.651734207	16018.83594	6.187641621	28888.08398	281129.7009
0.651745771	16038.39453	5.716345787	28888.08398	281062.7545
0.651757359	16070.78711	5.239666462	28888.08398	280724.2294
0.651768922	16044.79688	4.764815331	28949.04883	279732.9876
0.6517805	15988.36426	4.304017544	28949.04883	279048.1912
0.651792061	15933.68945	3.860383272	28949.04883	279391.1672
0.651803648	15962.07617	3.436206341	28949.04883	279477.4088
0.65181522	15962.99219	3.068060875	28949.04883	279116.7073
0.651826797	16040.05664	2.724236488	28969.6582	279481.6498
0.651838392	16065.47266	2.361777544	28969.6582	279468.3446
0.651849947	16002.70313	2.093651295	28969.6582	279144.0946
0.651861524	16039.39844	1.880112171	28969.6582	279613.0249
0.651873102	15955.95801	1.624675512	28969.6582	278945.7961
0.651884675	16006.02051	1.439750075	29008.89648	279466.8149
0.651896247	15978.25098	1.284903407	29008.89648	278510.1129
0.651907814	16050.86621	1.108678937	29008.89648	279766.2082
0.651919391	16048.28418	0.967962503	29008.89648	279322.0263
0.651930979	15991.69727	0.847164214	29008.89648	278528.6879
0.651942536	16021.95898	0.775043964	29028.14453	279671.2692
0.651954112	15827.59277	0.676468313	29028.14453	276365.1959
0.651965687	15917.44922	0.600427985	29028.14453	278158.7023
0.651977252	15837.5293	0.527067363	29028.14453	276989.3261
0.651988856	15923.30078	0.497146368	29028.14453	278448.0202
0.652000404	15837.01758	0.448401809	29038.36914	276716.976
0.652011991	15842.3252	0.374473721	29038.36914	277513.3098
0.652023561	15856.76367	0.337561876	29038.36914	276210.9259
0.652035127	15856.50391	0.28472054	29038.36914	277646.9309
0.652046714	15863.44141	0.235929906	29038.36914	277718.2331
0.652058274	15827.10449	0.2007339	29077.22266	276569.6078
0.652069857	15889.6377	0.184094876	29077.22266	277506.0619
0.652081431	15846.86133	0.177510634	29077.22266	276870.4073
0.652093004	15881.36035	0.17573297	29077.22266	277200.8243
0.65210458	15831.63086	0.173626795	29077.22266	276627.1196
0.652116152	15854.89355	0.171391383	29083.64063	276027.8306
0.652127729	15914.7373	0.163037553	29083.64063	276831.6646
0.652139299	15783.4248	0.156030789	29083.64063	276720.2486
0.652150891	15820.44043	0.142924503	29083.64063	276328.0133
0.652162456	15816.16504	0.134048685	29083.64063	276041.7404
0.652174014	15816.66699	0.119343236	29110.65625	276123.3168
0.652185597	15865.84375	0.106777057	29110.65625	276328.241
0.652197159	15923.29395	0.09062244	29110.65625	276470.2461
0.652208747	15869.58887	0.073762171	29110.65625	276672.0009
0.652220313	15882.41895	0.060612675	29110.65625	276978.2281
0.652231886	15835.14355	0.058424871	29142.29883	276038.7864
0.652243478	15824.72656	0.049831569	29142.29883	275248.9726
0.652255033	15861.57129	0.044270355	29142.29883	276043.9639
0.652266619	15863.97266	0.035661221	29142.29883	275587.5998
0.652278189	15871.20117	0.034034714	29142.29883	276538.6907
0.652289767	15870.38867	0.027038541	29279.1582	274417.4904
0.652301345	15853.27734	0.027762491	29279.1582	274639.2623
0.652312915	15805.72363	0.024066292	29279.1582	273938.3223
0.652324495	15779.83789	0.022943405	29279.1582	273718.7347
0.652336066	15869.04785	0.019583415	29279.1582	274432.4761
0.652347627	15848.47266	0.018344104	29467.93164	272571.6229
0.652359201	15835.1416	0.017089505	29467.93164	271972.1708
0.652370795	15860.77539	0.015446803	29467.93164	272415.0112
0.652382363	15784.12109	0.014659404	29467.93164	272303.5839
0.652393933	15803.58301	0.01420063	29467.93164	271722.974
0.652405516	15850.61035	0.013608576	29609.34961	271063.3132
0.652417082	15833.51465	0.010451335	29609.34961	271018.5943
0.652428651	15766.79883	0.011568984	29609.34961	270218.2692
0.652440237	15771.74512	0.010977713	29609.34961	270038.0158
0.652451805	15756.11133	0.009071521	29609.34961	270108.5524
0.652463374	15802.1709	0.010648125	29799.1543	268616.0996
0.652474954	15822.83008	0.007951644	29799.1543	268728.1716
0.652486536	15767.70508	0.008410239	29799.1543	268208.2122
0.65249811	15761.06348	0.008608653	29799.1543	268512.4497
0.652509689	15778.625	0.007684784	29799.1543	268012.0661
0.652521239	15855.15332	0.006502482	29967.99023	267129.831
0.652532826	15806.8916	0.005854443	29967.99023	267058.1246
0.652544413	15812.38379	0.005647058	29967.99023	267282.3073
0.652555982	15773.43457	0.006374499	29967.99023	266720.2635
0.652567551	15802.17871	0.004523209	29967.99023	266754.0251
0.65257913	15814.52148	0.004725718	30120.79492	265657.7409
0.652590703	15761.72656	0.003730091	30120.79492	264877.9872
0.652602267	15745.43164	0.003746947	30120.79492	264722.1326
0.652613844	15814.52051	0.002619787	30120.79492	265420.3127
0.652625424	15771.97754	0.001957722	30120.79492	265097.3162
0.652637008	15728.76855	0.003083678	30318.38086	262807.9858
0.652648574	15720.0166	0.000390268	30318.38086	262749.824
0.65266014	15797.4209	0.000118953	30318.38086	263457.2133
0.652671713	15790.52734	0.000127019	30318.38086	263368.2348
0.652683296	15776.02832	-0.000407786	30318.38086	262710.0942
0.652694874	15855.14941	0.001631625	30386.95703	262780.8603
0.652706444	15747.79492	-0.000924953	30386.95703	262459.1057
0.652718027	15784.82617	-0.003309062	30386.95703	262833.6376
0.652729594	15760.61328	-0.000991352	30386.95703	262062.633
0.652741162	15781.75195	-0.00019703	30386.95703	262607.6844
0.652752756	15754.65137	-0.001921362	30503.39258	261704.558
0.652764306	15824.7168	-0.000859156	30503.39258	261549.939
0.6527759	15835.66504	-0.001982283	30503.39258	262685.3887
0.652787458	16331.91113	-0.003341147	30503.39258	267091.2666
0.652799025	16653.76758	-0.003489477	30503.39258	269307.1054
0.652810604	16804.5918	-0.003566893	30495.83203	270731.088
0.652822168	16854.60742	-0.002174076	30495.83203	271032.6371
0.652833744	16851.64648	0.002553026	30495.83203	270998.646
0.652845318	16831.27539	0.022863884	30495.83203	269778.5238
0.652856911	16788.99609	0.10273207	30495.83203	270407.8708
0.652868487	16715.40625	0.173955903	30262.44336	272352.9883
0.652880045	16732.50781	0.213456839	30262.44336	272446.054
0.652891626	16599.31641	0.324266642	30262.44336	271393.9812
0.652903197	16670.26563	0.452456087	30262.44336	271241.6686
0.652914772	16706.84375	0.540193498	30262.44336	272098.1628
0.652926355	16571.50781	0.638759911	30045.73242	272864.6768
0.652937924	16596.07031	0.607289493	30045.73242	273437.9399
0.652949491	16668.125	0.742711961	30045.73242	274335.0505
0.652961076	16850.99023	0.849204123	30045.73242	275001.5336
0.652972643	16848.85352	0.995558262	30045.73242	276247.3779
0.652984222	16796.05273	1.095384836	29920.43359	276704.7665
0.652995792	16784.10156	1.182167649	29920.43359	277051.6672
0.653007376	16770.74609	1.33316648	29920.43359	276008.0587
0.653018946	16715.12305	1.460468411	29920.43359	276930.8058
0.653030517	16702.90234	1.545598149	29920.43359	275785.0045
0.653042096	16764.59766	1.636065841	29806.39453	277272.0031
0.653053674	16766.12109	1.78635633	29806.39453	276953.4579
0.653065244	16683.67383	1.874108315	29806.39453	276716.318
0.653076821	16565.65039	1.996588588	29806.39453	275932.5782
0.653088366	16700.16797	2.114881516	29806.39453	277535.2955
0.653099962	16626.97461	2.281493425	29664.16211	277928.4303
0.653111535	16676.68164	2.339294434	29664.16211	278908.8124
0.653123115	16636.23828	2.501879931	29664.16211	277939.9771
0.653134701	16691.27344	2.656345367	29664.16211	278883.8825
0.653146264	16596.0625	2.79536438	29664.16211	277294.0501
0.653157834	16535.16602	2.868267059	29534.29883	278090.2416
0.65316943	16572.01172	3.032038212	29534.29883	278675.259
0.653180998	16507.35742	3.144680977	29534.29883	277348.8429
0.653192572	16514.31641	3.25199151	29534.29883	278176.7102
0.653204132	16490.26172	3.315726042	29534.29883	277477.3449
0.653215693	16476.91992	3.429096699	29432.08398	279244.8727
0.653227281	16480.68164	3.514923096	29432.08398	278644.5403
0.653238843	16417.55859	3.639762878	29432.08398	278133.9335
0.653250445	16396.88477	3.778221369	29432.08398	278754.6648
0.653262013	16442.22461	3.921132088	29432.08398	278417.4435
0.653273585	16420.85938	4.008788109	29320.31641	280158.2989
0.653285163	16472.03516	4.129124641	29320.31641	279907.1449
0.653296718	16433.00977	4.26075697	29320.31641	279255.6034
0.653308304	16495.63477	4.417922497	29320.31641	280236.0764
0.653319886	16543.20508	4.517353058	29320.31641	281764.8717
0.653331468	16491.89258	4.646619797	29361.23242	279599.9971
0.653343034	16461.45117	4.768930435	29361.23242	279403.7364
0.653354596	16424.45898	4.824882984	29361.23242	279339.6953
0.65336619	16475.29297	4.94527626	29361.23242	279501.7309
0.653377763	16372.65527	5.065223217	29361.23242	278739.0457
0.653389333	16432.52148	5.18828249	29316.22656	279404.1686
0.653400905	16419.69141	5.294445515	29316.22656	280380.3056
0.653412465	16387.14453	5.41119957	29316.22656	279379.8976
0.653424043	16384.29102	5.452134132	29316.22656	278483.2292
0.653435628	16345.61621	5.56065321	29316.22656	278750.8572
0.653447183	16417.07617	5.686282635	29269.53711	280642.9202
0.653458763	16374.79785	5.774173737	29269.53711	279887.5773
