Day fraction since midnight on 	200 kPa (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.617254518	20208.61328	0.500498176	30200.28906	0
0.617266094	20090.95313	0.500959039	30200.28906	0
0.617277661	20153.46094	0.502804816	30245.28906	0
0.617289241	20187.50391	0.502343535	30245.28906	0
0.617300822	20165.97266	0.503658652	30245.28906	0
0.617312392	20061.98438	0.503726184	30245.28906	0
0.617323963	20138.51367	0.504777551	30245.28906	0
0.617335533	20164.29883	0.502476931	30280.21484	0
0.617347131	20157.58008	0.509118974	30280.21484	0
0.617358687	20127.31836	0.500037253	30280.21484	0
0.617370271	20133.9043	0.516097486	30280.21484	0
0.617381823	20146.89453	0.48602736	30280.21484	0
0.617393396	20160.0293	0.530542016	30297.36719	0
0.617404992	20070.13867	0.508919597	30297.36719	0
0.617416567	20062.75781	0.519075036	30297.36719	0
0.617428131	20095.41602	0.528994381	30297.36719	0
0.617439706	20069.375	0.509321809	30297.36719	0
0.617451276	20097.72656	0.496159405	30309.64648	0
0.617462843	20082.76367	0.481884718	30309.64648	0
0.617474436	20100.58984	0.503660679	30309.64648	0
0.61748599	20067.42578	0.578576744	30309.64648	0
0.617497581	20085.09375	0.527791858	30309.64648	0
0.617509149	20053.05078	0.610904872	30369.01172	0
0.617520734	20048.17383	0.526502371	30369.01172	0
0.617532299	19982.08789	0.526361823	30369.01172	0
0.617543879	20005.17188	0.524601221	30369.01172	0
0.617555456	19982.0918	0.527744114	30369.01172	0
0.61756701	19966.88867	0.536245585	30427.49023	0
0.617578594	20031.26953	0.530178964	30427.49023	0
0.617590171	19992.78125	0.539984167	30427.49023	0
0.617601737	19967.58789	0.539627016	30427.49023	0
0.617613311	20024.64063	0.540393233	30427.49023	0
0.617624887	20018.22656	0.5448699	30524.01563	0
0.617636459	19993.67188	0.544527113	30524.01563	0
0.61764803	19899.73828	0.548994839	30524.01563	0
0.617659622	19959.04883	0.549819112	30524.01563	0
0.617671195	19963.54688	0.553284645	30524.01563	0
0.617682755	19977.81445	0.554724693	30616.13086	0
0.617694333	19930.76563	0.549657464	30616.13086	0
0.617705905	19953.10352	0.566931069	30616.13086	0
0.617717474	19856.75977	0.564392865	30616.13086	0
0.617729055	19966.6582	0.571888328	30616.13086	0
0.617740623	19935.54492	0.57414788	30683.67969	0
0.617752216	19824.43555	0.583353758	30683.67969	0
0.617763812	19887.73633	0.577390909	30683.67969	0
0.617775365	19838.11328	0.584376097	30683.67969	0
0.617786937	19851.94141	0.598447323	30683.67969	0
0.617798498	19823.85938	0.600459456	30729.49023	0
0.617810076	19809.19141	0.605156779	30729.49023	0
0.617821656	19834.26172	0.606158495	30729.49023	0
0.61783322	19805.2168	0.610770941	30729.49023	0
0.617844801	19827.8457	0.61820519	30729.49023	0
0.617856371	19846.0918	0.614606381	30887.23242	0
0.617867955	19796.37305	0.626337707	30887.23242	0
0.617879518	19830.85547	0.606496215	30887.23242	0
0.617891104	19789.66211	0.623621583	30887.23242	0
0.617902678	19851.36719	0.626565814	30887.23242	0
0.617914251	19775.91797	0.630330324	30954.17188	0
0.617925812	19755.76172	0.621205211	30954.17188	0
0.617937398	19794.2207	0.635677338	30954.17188	0
0.617948977	19782.92969	0.638349474	30954.17188	0
0.617960529	19684.87695	0.642310679	30954.17188	0
0.617972126	19790.5625	0.644183338	31088.80859	0
0.617983683	19796.05859	0.646850884	31088.80859	0
0.61799527	19744.42188	0.648816824	31088.80859	0
0.61800684	19737.82227	0.651230633	31088.80859	0
0.61801841	19720.08984	0.651544988	31088.80859	0
0.618029987	19705.92383	0.652174652	31219.81836	0
0.61804155	19691.62891	0.652451456	31219.81836	0
0.618053144	19722.21094	0.656277418	31219.81836	0
0.618064698	19639.23828	0.658622265	31219.81836	0
0.618076274	19608.2832	0.657648325	31219.81836	0
0.618087873	19543.35156	0.660535753	31322.88477	0
0.618099419	19684.12695	0.629806221	31322.88477	0
0.618110994	19663.16016	0.654149056	31322.88477	0
0.618122572	19637.83984	0.680876017	31322.88477	0
0.618134142	19668.82031	0.665676951	31322.88477	0
0.618145738	19591.95117	0.664493859	31409.46094	0
0.618157301	19567.66602	0.664424002	31409.46094	0
0.618168879	19590.41406	0.665144444	31409.46094	0
0.61818045	19618.9707	0.652253866	31409.46094	0
0.618192014	19531.73047	0.667582512	31409.46094	0
0.618203617	19541.49023	0.669949114	31490.88281	0
0.618215161	19542.42188	0.67481643	31490.88281	0
0.618226742	19616.82617	0.670015931	31490.88281	0
0.618238316	19558.16602	0.671395004	31490.88281	0
0.618249888	19592.32617	0.67244643	31490.88281	0
0.618261478	19497.13086	0.671989501	31543.08398	0
0.61827304	19518.91016	0.672646165	31543.08398	0
0.618284621	19472.76758	0.67264998	31543.08398	0
0.6182962	19549.76563	0.675942063	31543.08398	0
0.61830777	19496.26367	0.675074756	31543.08398	0
0.61831935	19433.80859	0.672256112	31628.03516	0
0.618330944	19456.52734	0.680739284	31628.03516	0
0.618342483	19539.77539	0.681307554	31628.03516	0
0.618354067	19438.97852	0.679690898	31628.03516	0
0.618365633	19392.87109	0.683233917	31628.03516	0
0.618377229	19414.67773	0.689473093	31673.0625	0
0.618388775	19355.36914	0.681120157	31673.0625	0
0.61840036	19430.42578	0.6831792	31673.0625	0
0.618411941	19363.66797	0.68970257	31673.0625	0
0.618423497	19440.68555	0.68970257	31673.0625	0
0.618435085	19330.91016	0.693426251	31719.77539	0
0.618446654	19431.76758	0.692167878	31719.77539	0
0.61845822	19358.66992	0.697568834	31719.77539	0
0.618469807	19295.71484	0.700026155	31719.77539	0
0.61848138	19282.26953	0.717539132	31719.77539	0
0.618492958	19316.60742	0.695561707	31788.99609	0
0.618504516	19366.75781	0.703171372	31788.99609	0
0.618516101	19223.01563	0.708909988	31788.99609	0
0.618527674	19274.24609	0.696626484	31788.99609	0
0.618539237	19339.44727	0.72018826	31788.99609	0
0.618550832	19260.4043	0.714993656	31857.1543	0
0.618562393	19202.71094	0.723081291	31857.1543	0
0.618573967	19295.58008	0.723826885	31857.1543	0
0.61858555	19242.26172	0.722137094	31857.1543	0
0.618597117	19309.04492	0.727378547	31857.1543	0
0.61860871	19237.42969	0.730552912	31909.47656	0
0.61862027	19256.21094	0.731201947	31909.47656	0
0.618631831	19118.40039	0.739069402	31909.47656	0
0.618643413	19236.37109	0.733956516	31909.47656	0
0.618654986	19239.56055	0.739951909	31909.47656	0
0.618666558	19188.31445	0.741332114	31963.24609	0
0.61867816	19185.08789	0.745665312	31963.24609	0
0.618689714	19174.31641	0.741175413	31963.24609	0
0.618701277	19199.51953	0.753720701	31963.24609	0
0.618712868	19215.54102	0.753788054	31963.24609	0
0.618724441	19233.14258	0.759078205	32038.89844	0
0.618736014	19146.15039	0.763181329	32038.89844	0
0.618747588	19202.1582	0.767462969	32038.89844	0
0.618759167	19066.32617	0.770215511	32038.89844	0
0.618770722	19087.33789	0.772987902	32038.89844	0
0.618782305	19150.87305	0.770990074	32074.86914	0
0.618793872	19150.32227	0.779190958	32074.86914	0
0.618805449	19138.61328	0.776867688	32074.86914	0
0.618817022	19166.94922	0.786355317	32074.86914	0
0.6188286	19149.77148	0.79233563	32074.86914	0
0.618840173	18983.01758	0.793239892	32080.4707	0
0.618851747	19150.41797	0.797872186	32080.4707	0
0.618863331	19090.26563	0.799799502	32080.4707	0
0.618874909	18984.5332	0.80208987	32080.4707	0
0.618886465	19090.46289	0.810382843	32080.4707	0
0.618898039	19031.5	0.812932253	32075.76758	0
0.618909615	19128.93945	0.811501443	32075.76758	0
0.61892119	19038.5293	0.81359899	32075.76758	0
0.618932775	19027.83398	0.818075776	32075.76758	0
0.618944347	19028.13477	0.822176695	32075.76758	0
0.618955914	18990.30859	0.821524382	32118.07617	0
0.618967498	19053.5	0.821499348	32118.07617	0
0.618979055	19062.29492	0.823557138	32118.07617	0
0.618990638	19026.91406	0.823811889	32118.07617	0
0.619002218	18957.24609	0.8237378	32118.07617	0
0.619013793	19080.71875	0.823206723	32129.3418	0
0.619025351	18920.0293	0.825193286	32129.3418	0
0.619036947	18916.41797	0.827432573	32129.3418	0
0.619048522	18918.07227	0.828014731	32129.3418	0
0.619060083	18909.35938	0.827890456	32129.3418	0
0.619071668	18932.2168	0.828611851	32161.67383	0
0.619083243	18860.30273	0.828936815	32161.67383	0
0.619094811	18914.93945	0.828947067	32161.67383	0
0.619106386	18890.92383	0.829004645	32161.67383	0
0.619117951	18858.72656	0.83098346	32161.67383	0
0.619129521	18832.33398	0.831314504	32191.03125	0
0.619141097	18878.10742	0.831440628	32191.03125	0
0.619152696	18831.79297	0.832360923	32191.03125	0
0.619164242	18813.81055	0.833482921	32191.03125	0
0.619175821	18784.6875	0.833152711	32191.03125	0
0.619187396	18808.19141	0.833679199	32207.39453	0
0.619198975	18776.12109	0.834732115	32207.39453	0
0.619210552	18836.08008	0.834535241	32207.39453	0
0.619222128	18745.47461	0.834995747	32207.39453	0
0.619233709	18709.03125	0.836117387	32207.39453	0
0.619245276	18649.33789	0.836375535	32225.91602	0
0.619256842	18737.64648	0.835850895	32225.91602	0
0.619268437	18733.42969	0.836306214	32225.91602	0
0.619279994	18678.5293	0.836639524	32225.91602	0
0.619291569	18739.74219	0.838752091	32225.91602	0
0.619303131	18678.51563	0.837823629	32228.5	0
0.619314719	18603.70703	0.839533985	32228.5	0
0.619326299	18493.87695	0.840325892	32228.5	0
0.61933786	18530.23047	0.839601994	32228.5	0
0.619349449	18647.9707	0.842553198	32228.5	0
0.619361018	18559.60938	0.84176755	32232.59961	0
0.619372589	18605.26563	0.843276262	32232.59961	0
0.619384157	18702.75977	0.844200552	32232.59961	0
0.619395746	18591.65625	0.848540485	32232.59961	0
0.619407315	18546.25977	0.849317312	32232.59961	0
0.619418875	18601.57031	0.849993348	32249.98047	0
