Day fraction since midnight on 	200 kPa (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.648423992	15341.75391	8.897730827	26637.2168	128127.2709
0.648435552	15382.76855	8.896862984	26637.2168	128127.2709
0.648447128	15350.59473	8.89719677	26637.2168	128080.9458
0.648458695	15386.68066	8.897601128	26637.2168	128220.0876
0.648470268	15337.58789	8.896018028	26713.96094	127444.5569
0.648481852	15333.26074	8.89286232	26713.96094	127443.515
0.648493428	15378.41797	8.895747185	26713.96094	127741.2907
0.648505012	15343.94141	8.893838882	26713.96094	127398.0066
0.648516569	15337.75	8.896733284	26713.96094	127603.1614
0.648528155	15344.05664	8.904243469	26834.91992	126741.823
0.648539722	15354.74707	8.905615807	26834.91992	126875.332
0.648551312	15350.35742	8.899303436	26834.91992	127032.1362
0.648562877	15367.51465	8.899636269	26834.91992	126833.3979
0.648574451	15363.37207	8.900885582	26834.91992	126946.2033
0.648586005	15365.37598	8.89930439	27053.28906	125719.4339
0.648597597	15361.10059	8.892069817	27053.28906	125587.613
0.648609173	15363.36914	8.800621986	27053.28906	125608.8481
0.648620743	15344.11523	8.668801308	27053.28906	125566.3595
0.648632322	15367.71289	8.394521713	27053.28906	125805.6731
0.648643892	15373.92773	8.041905403	27264.76367	124563.2887
0.648655472	15408.30273	7.599784851	27264.76367	124800.691
0.648667023	15339.78418	7.137809753	27264.76367	124585.2795
0.648678596	15386.75488	6.605480194	27264.76367	124630.1223
0.648690183	15386.75293	6.066140652	27264.76367	124691.1685
0.648701755	15371.59082	5.559570313	27439.36719	123697.4349
0.64871332	15378.13281	5.017715454	27439.36719	123595.3987
0.648724914	15367.51953	4.56472826	27439.36719	123741.4066
0.648736483	15343.83008	4.066012859	27439.36719	123531.7907
0.648748055	15350.29785	3.626896858	27439.36719	123632.2971
0.64875962	15343.94434	3.246560812	27638.67969	122456.1549
0.648771211	15352.55176	2.876858473	27638.67969	122475.227
0.648782779	15343.94141	2.563560486	27638.67969	122375.3218
