wavelength,0,1,2,3,4,5,unknown
360,0.0004,-0.0021,0.0113,0.0039,-0.0233,0.0321,0.4154
362,0.0003,-0.0021,0.0109,0.0034,-0.0239,0.0311,0.4153
364,0.0004,-0.0021,0.0107,0.0031,-0.0242,0.0306,0.4161
366,0.0003,-0.0024,0.0098,0.0035,-0.0219,0.0286,0.4029
368,0.0003,-0.0018,0.0108,0.0028,-0.0247,0.0302,0.4163
370,0.0003,-0.0019,0.0105,0.003,-0.0241,0.0297,0.4175
372,0.0003,-0.0018,0.0106,0.003,-0.0241,0.03,0.4181
374,0.0004,-0.0015,0.0107,0.0032,-0.0236,0.0303,0.4187
376,0.0004,-0.0015,0.011,0.0033,-0.0237,0.0306,0.4183
378,0.0004,-0.0013,0.0111,0.0037,-0.0233,0.031,0.4184
380,0.0003,-0.0013,0.0111,0.0037,-0.0235,0.0313,0.4195
382,0.0003,-0.0011,0.0111,0.0041,-0.022,0.0311,0.4175
384,0.0003,-0.0008,0.0113,0.0045,-0.0213,0.0317,0.4171
386,0.0003,-0.0007,0.0116,0.0049,-0.021,0.0326,0.4198
388,0.0003,-0.0005,0.0121,0.0051,-0.0211,0.0335,0.4206
390,0.0003,-0.0004,0.0119,0.0055,-0.0199,0.0335,0.4199
392,0.0004,-0.0002,0.0124,0.0057,-0.0202,0.0345,0.4204
394,0.0003,-0.0002,0.0123,0.006,-0.0198,0.0345,0.419
396,0.0002,-0.0001,0.0122,0.0057,-0.0194,0.0338,0.4205
398,0.0004,-0.0002,0.0123,0.0054,-0.0207,0.034,0.4206
400,0.0005,-0.0002,0.0118,0.0051,-0.0204,0.0326,0.4193
402,0.0003,-0.0006,0.0111,0.004,-0.021,0.0309,0.4188
404,0.0004,-0.0008,0.0108,0.0036,-0.0219,0.0298,0.4204
406,0.0004,-0.001,0.0106,0.0028,-0.0232,0.0288,0.4205
408,0.0003,-0.0012,0.0098,0.0019,-0.0235,0.027,0.4205
410,0.0003,-0.0014,0.0096,0.0013,-0.0242,0.026,0.4198
412,0.0003,-0.0014,0.0095,0.0009,-0.0247,0.0253,0.4194
414,0.0004,-0.0016,0.0093,0.0007,-0.025,0.0248,0.4186
416,0.0003,-0.0016,0.0091,0.0004,-0.0251,0.0244,0.4197
418,0.0004,-0.0014,0.0091,0.0005,-0.0247,0.0243,0.42
420,0.0004,-0.0014,0.0093,0.0007,-0.0248,0.0247,0.4195
422,0.0003,-0.0013,0.01,0.001,-0.0255,0.0258,0.4194
424,0.0004,-0.0012,0.0097,0.0011,-0.0244,0.0253,0.4191
426,0.0003,-0.001,0.0097,0.0011,-0.0237,0.0252,0.4197
428,0.0003,-0.001,0.0099,0.0014,-0.0231,0.0261,0.42
430,0.0003,-0.0008,0.0107,0.002,-0.0234,0.0275,0.4209
432,0.0004,-0.0005,0.0104,0.0022,-0.0223,0.0268,0.421
